country	name	employee	site	city	lat	long
AFRIQUE DU SUD	PERMOSEAL (PTY) LTD	228	AGENCE COMMERCIALE	CAPE TOWN	-33.631556,	19.232857
AFRIQUE DU SUD	DEN BRAVEN SA PROPRIETARY LIMITED	5	AGENCE COMMERCIALE	CAPE TOWN	-33.631556,	19.232857
AFRIQUE DU SUD	DEN BRAVEN SA PROPRIETARY LIMITED	2	AGENCE COMMERCIALE	DURBAN	-29.855057	30.999533
AFRIQUE DU SUD	PERMOSEAL (PTY) LTD	91	AGENCE COMMERCIALE	GAUTENG	-26,116795	27.869074
AFRIQUE DU SUD	DEN BRAVEN SA PROPRIETARY LIMITED	16	AGENCE COMMERCIALE	JOHANNESBURG	-26.153662	28.092457
AFRIQUE DU SUD	PERMOSEAL (PTY) LTD	28	AGENCE COMMERCIALE	KWAZULU-NATAL	-28.617664,	30.881739
ALGERIE	ARKEMA FRANCE	4	SIEGE SOCIAL	ALGER	36.753768	3.0587561
ALLEMAGNE	BOSTIK GMBH	184	SIEGE SOCIAL	BORGHOLZHAUSEN	52.1025558	8.2813014
ALLEMAGNE	BOSTIK GMBH	144	USINE DE PRODUCTION	BORGHOLZHAUSEN	52.1025558	8.2813014
ALLEMAGNE	ARKEMA GMBH	71	SIEGE SOCIAL	DUESSELDORF	51.2738092	6.7421871
ALLEMAGNE	ARKEMA GMBH	155	USINE DE PRODUCTION	GUENZURG	48.4707826	10.278213
ALLEMAGNE	FIXATTI GMBH	28	USINE DE PRODUCTION	KLETTGAU-GRIESSEN	47.630821	8.417274
ALLEMAGNE	BOSTIK GMBH	77	USINE DE PRODUCTION	LEER	53.2551971	7.451357799999999
ALLEMAGNE	ARKEMA GMBH	58	USINE DE PRODUCTION	LEUNA	51.366680	12.041128
ALLEMAGNE	BOSTIK AEROSOLS GMBH	92	USINE DE PRODUCTION	REICHENBERG	49.7078573	9.905539899999999
ALLEMAGNE	BOSTIK TECHNOLOGY GMBH	75	USINE DE PRODUCTION	SCHWEPNITZ	51.32922199999999	13.9591927
ALLEMAGNE	BOSTIK GMBH	14	USINE DE PRODUCTION	WIESMOOR	53.4113669	7.7248722
ALLEMAGNE	ARKEMA GMBH	119	USINE DE PRODUCTION	ZWICKAU	50.677645	12.484400
ARABIE SAOUDITE	ARRMAZ GULF CHEMICALS CO., LTD	28	USINE DE PRODUCTION	AL JALAMEED	31.270881	40.096232
ARABIE SAOUDITE	ARRMAZ GULF CHEMICALS CO., LTD	17	SIEGE SOCIAL	AL KHOBAR	26.200329	50.190310
ARABIE SAOUDITE	ARKEMA CHEMICALS SAUDI ARABIA	15	USINE DE PRODUCTION	DAMMAM	26.4206828	50.0887943
ARGENTINE	ARKEMA ARGENTINA SAU	18	SIEGE SOCIAL	BUENOS AIRES	-34.639533	-58.363507
ARGENTINE	BOSTIK ARGENTINA SA	7	SIEGE SOCIAL	BUENOS AIRES	-34.639533	-58.363507
ARGENTINE	ARKEMA ARGENTINA SAU	16	USINE DE PRODUCTION	CARLOS CASARES	-35.622887	-61.364307
AUSTRALIE	BOSTIK AUSTRALIA PTY LTD	51	SIEGE SOCIAL	ESSENDON FIELDS	-37.7263122	144.8968793
AUSTRALIE	BOSTIK AUSTRALIA PTY LTD	22	USINE DE PRODUCTION	KINGS PARK	-33.7457198	150.9047417
AUSTRALIE	BOSTIK AUSTRALIA PTY LTD	5	AGENCE COMMERCIALE	MEADOWBROOK	-27.6678291	153.1395015
AUSTRALIE	BOSTIK AUSTRALIA PTY LTD	49	USINE DE PRODUCTION	THOMASTOWN	-37.6837819	145.0107588
AUTRICHE	BOSTIK GMBH	19	AGENCE COMMERCIALE	WOLLERSDORF	47.86542	16.16878
BELGIQUE	BOSTIK BELUX NV SA	19	AGENCE COMMERCIALE	LOCHRISTI	51.111028	3.850477
