country	name	employee	site	city	lat	long
AFRIQUE DU SUD	DEN BRAVEN SA PROPRIETARY LIMITED	5	AGENCE COMMERCIALE	CAPE TOWN	-33.631556,	19.232857
AFRIQUE DU SUD	DEN BRAVEN SA PROPRIETARY LIMITED	2	AGENCE COMMERCIALE	DURBAN	-29.855057	30.999533
AFRIQUE DU SUD	DEN BRAVEN SA PROPRIETARY LIMITED	15	AGENCE COMMERCIALE	JOHANNESBURG	-26.153662	28.092457
AFRIQUE DU SUD	PERMOSEAL (PTY) LTD	223	AGENCE COMMERCIALE	CAPE TOWN	-33.631556,	19.232857
AFRIQUE DU SUD	PERMOSEAL (PTY) LTD	87	AGENCE COMMERCIALE	GAUTENG	-26,116795	27.869074
AFRIQUE DU SUD	PERMOSEAL (PTY) LTD	28	AGENCE COMMERCIALE	KWAZULU-NATAL	-28.617664,	30.881739
ALGERIE	ARKEMA FRANCE	4	SIEGE SOCIAL	ALGER	36.753768	3.0587561
ALLEMAGNE	BOSTIK GMBH	181	SIEGE SOCIAL	BORGHOLZHAUSEN	52.1025558	8.2813014
ALLEMAGNE	BOSTIK GMBH	144	USINE DE PRODUCTION	BORGHOLZHAUSEN	52.1025558	8.2813014
ALLEMAGNE	ARKEMA GMBH	72	SIEGE SOCIAL	DUESSELDORF	51.2738092	6.7421871
ALLEMAGNE	ARKEMA GMBH	154	USINE DE PRODUCTION	GUENZURG	48.4707826	10.278213
ALLEMAGNE	FIXATTI GMBH	25	USINE DE PRODUCTION	KLETTGAU-GRIESSEN	47.630821	8.417274
ALLEMAGNE	BOSTIK GMBH	74	USINE DE PRODUCTION	LEER	53.2551971	7.451357799999999
ALLEMAGNE	ARKEMA GMBH	56	USINE DE PRODUCTION	LEUNA	51.366680	12.041128
ALLEMAGNE	BOSTIK AEROSOLS GMBH	87	USINE DE PRODUCTION	REICHENBERG	49.7078573	9.905539899999999
ALLEMAGNE	BOSTIK TECHNOLOGY GMBH	69	USINE DE PRODUCTION	SCHWEPNITZ	51.32922199999999	13.9591927
ALLEMAGNE	BOSTIK GMBH	4	USINE DE PRODUCTION	WIESMOOR	53.4113669	7.7248722
ALLEMAGNE	POLYTEC PT GMBH	54	SIEGE SOCIAL 	KARLSBAD	48.905915	8.511038
ALLEMAGNE	ARKEMA GMBH	118	USINE DE PRODUCTION	ZWICKAU	50.677645	12.484400
ARABIE SAOUDITE	ARRMAZ GULF CHEMICALS CO., LTD	33	USINE DE PRODUCTION	AL JALAMEED	31.270881	40.096232
ARABIE SAOUDITE	ARRMAZ GULF CHEMICALS CO., LTD	11	SIEGE SOCIAL	AL KHOBAR	26.200329	50.190310
ARABIE SAOUDITE	ARKEMA CHEMICALS SAUDI ARABIA	16	USINE DE PRODUCTION	DAMMAM	26.4206828	50.0887943
ARGENTINE	ARKEMA ARGENTINA SAU	20	SIEGE SOCIAL	BUENOS AIRES	-34.639533	-58.363507
ARGENTINE	BOSTIK ARGENTINA SA	7	SIEGE SOCIAL	BUENOS AIRES	-34.639533	-58.363507
